field,person_id,college_id,graduation_year,degree,degree_id
Civil Engineering 土木,88603662,NA,NA,NA,88621602
Chemical Engineering 化工,88605403,NA,NA,NA,88623216
Electrical Engineering 電機,88600621,NA,NA,NA,88618738
Chemical Engineering 化工,88606907,NA,NA,NA,88624621
Chemical Engineering 化工,88603052,NA,NA,NA,88621024
Electrical Engineering 電機,88603037,NA,NA,NA,88621009
Chemistry,88602334,NA,NA,NA,88620343
Mechanical Engineering 機械,88611215,NA,NA,NA,88628653
Civil Engineering 土木,88606982,NA,NA,NA,88624698
Chemical Engineering 化工,88601473,NA,NA,NA,88619534
Mechanical Engineering 機械,88600619,NA,NA,NA,88618735
Electrical Engineering 電機,88607063,NA,NA,NA,88624768
Aviation,88600160,NA,NA,NA,88618310
Mechanical Engineering 機械,88600160,NA,NA,NA,88618311
Agricultural Engineering,88611196,NA,NA,NA,88628633
Civil Engineering 土木,88604334,NA,NA,NA,88622232
Electrical Engineering 電機,88602232,NA,NA,NA,88620244
Chemical Engineering 化工,88611224,NA,NA,NA,88628663
Military Engineering,88610882,NA,NA,NA,88628317
Chemistry,88607057,NA,NA,NA,88624762
Chemistry,88600630,NA,NA,NA,88618746
Chemistry,88603041,NA,NA,NA,88621014
Agricultural Engineering,88605408,NA,NA,NA,88623222
Civil Engineering 土木,88611203,NA,NA,NA,88628641
Mechanical Engineering 機械,88603675,NA,NA,NA,88621615
Chemical Engineering 化工,88607075,NA,NA,NA,88624780
Mechanical Engineering 機械,88600500,NA,NA,NA,88618621
Mechanical Engineering 機械,88603374,NA,NA,NA,88621332
Civil Engineering 土木,88610957,NA,NA,NA,88628391
Civil Engineering 土木,88601304,NA,NA,NA,88619371
Civil Engineering 土木,88605919,NA,NA,NA,88623678
Chemistry,88600485,NA,NA,NA,88618608
Mechanical Engineering 機械,88601306,NA,NA,NA,88619373
Civil Engineering 土木,88605225,NA,NA,NA,88623052
Mechanical Engineering 機械,88605958,NA,NA,NA,88623716
Chemistry,88610962,NA,NA,NA,88628397
Mechanical Engineering 機械,88605313,NA,NA,NA,88623136
Mechanical Engineering 機械,88603359,NA,NA,NA,88621319
Civil Engineering 土木,88610961,NA,NA,NA,88628396
Chemistry,88610966,NA,NA,NA,88628401
Chemical Engineering 化工,88601305,NA,NA,NA,88619372
Electrical Engineering 電機,88601310,NA,NA,NA,88619376
Civil Engineering 土木,88603362,NA,NA,NA,88621322
Civil Engineering 土木,88610965,NA,NA,NA,88628400
Civil Engineering 土木,88605938,NA,NA,NA,88623697
Civil Engineering 土木,88603368,NA,NA,NA,88621328
Chemistry,88603378,NA,NA,NA,88621335
Civil Engineering 土木,88610951,NA,NA,NA,88628385
Electrical Engineering 電機,88604269,NA,NA,NA,88622173
Chemistry,88610960,NA,NA,NA,88628395
Civil Engineering 土木,88606012,NA,NA,NA,88623767
Electrical Engineering 電機,88601308,NA,NA,NA,88619374
Mechanical Engineering 機械,88603356,NA,NA,NA,88621316
Electrical Engineering 電機,88600077,NA,NA,NA,88618232
Civil Engineering 土木,88603372,NA,NA,NA,88621330
Chemical Engineering 化工,88605838,NA,NA,NA,88623599
Mining and Metallurgy,88603361,NA,NA,NA,88621321
Civil Engineering 土木,88602663,NA,NA,NA,88620657
Chemistry,88603354,NA,NA,NA,88621313
Civil Engineering 土木,88604642,NA,NA,NA,88622508
Electrochemistry,88605947,NA,NA,NA,88623705
Civil Engineering 土木,88605972,NA,NA,NA,88623729
